NC_091134.1 rna-XM_069249537.1 gene-LOC138308519
NC_091134.1 rna-XM_069254653.1 gene-LOC138314347
NC_091134.1 rna-XM_069254661.1 gene-LOC138314358
NC_091134.1 rna-XM_069254688.1 gene-LOC138314384
NC_091134.1 rna-XM_069254706.1 gene-LOC138314384
NC_091134.1 rna-XM_069254697.1 gene-LOC138314384
NC_091134.1 rna-XM_069254680.1 gene-LOC138314367
NC_091134.1 rna-XM_069254672.1 gene-LOC138314367
NC_091134.1 rna-XM_069249548.1 gene-LOC138308528
NC_091134.1 rna-XM_069249560.1 gene-LOC138308536
NC_091134.1 rna-XM_069249572.1 gene-LOC138308544
NC_091134.1 rna-XM_069249587.1 gene-LOC138308548
NC_091134.1 rna-XM_069254751.1 gene-LOC138314423
NC_091134.1 rna-XM_069254718.1 gene-LOC138314402
NC_091134.1 rna-XM_069254725.1 gene-LOC138314402
NC_091134.1 rna-XM_069254738.1 gene-LOC138314416
NC_091134.1 rna-Trnam-cau gene-Trnam-cau
NC_091134.1 rna-XM_069254762.1 gene-LOC138314433
NC_091134.1 rna-XM_069254774.1 gene-LOC138314441
NC_091134.1 rna-XM_069254789.1 gene-LOC138314446
NC_091134.1 rna-XM_069254802.1 gene-LOC138314452
NC_091134.1 rna-XR_011206225.1 gene-LOC138309238
NC_091134.1 rna-XM_069254814.1 gene-LOC138314458
NC_091134.1 rna-XM_069254837.1 gene-LOC138314477
NC_091134.1 rna-XM_069254826.1 gene-LOC138314467
NC_091134.1 rna-XM_069250417.1 gene-LOC138309245
NC_091134.1 rna-XM_069250410.1 gene-LOC138309245
NC_091134.1 rna-XM_069250402.1 gene-LOC138309245
NC_091134.1 rna-XM_069254849.1 gene-LOC138314487
NC_091134.1 rna-XM_069250429.1 gene-LOC138309265
NC_091134.1 rna-XM_069254874.1 gene-LOC138314496
NC_091134.1 rna-XM_069254867.1 gene-LOC138314496
NC_091134.1 rna-XM_069254860.1 gene-LOC138314496
NC_091134.1 rna-XM_069254905.1 gene-LOC138314516
NC_091134.1 rna-XM_069254888.1 gene-LOC138314516
NC_091134.1 rna-XM_069254897.1 gene-LOC138314516
NC_091134.1 rna-XM_069254914.1 gene-LOC138314516
NC_091134.1 rna-XR_011207386.1 gene-LOC138314536
NC_091134.1 rna-XM_069254940.1 gene-LOC138314551
NC_091134.1 rna-XM_069254930.1 gene-LOC138314544
NC_091134.1 rna-XM_069254961.1 gene-LOC138314561
NC_091134.1 rna-XM_069254979.1 gene-LOC138314561
NC_091134.1 rna-XM_069254971.1 gene-LOC138314561
NC_091134.1 rna-XM_069254953.1 gene-LOC138314561
NC_091134.1 rna-XM_069250443.1 gene-LOC138309272
NC_091134.1 rna-XM_069249597.1 gene-LOC138308555
NC_091134.1 rna-XM_069250453.1 gene-LOC138309278
NC_091134.1 rna-XM_069254991.1 gene-LOC138314581
NC_091134.1 rna-XR_011207398.1 gene-LOC138314590
NC_091134.1 rna-XR_011207399.1 gene-LOC138314590
