grant,Sub_Project,Sample_Description,Date_sampled,Exposure_OA,Replicate,Storage,Date_extraction,Tube_ID,Mean_Qubit_ng/ul,Final_ug_sample,Final_vol_sample,Plate_wells,Sample_name
Bay Scallops FY21-23 OAP,F1 juveniles,whole juvenile tissue for RNA,10/27/2021,low,A,RNAlater,3/31/2022,8 A 1 10/27/21,42.5,-,-,A1,Ai1
Bay Scallops FY21-23 OAP,F1 juveniles,whole juvenile tissue for RNA,10/27/2021,low,A,RNAlater,4/6/2022,8 A 2 10/27/21,30.3,-,-,A2,Ai2
Bay Scallops FY21-23 OAP,F1 juveniles,whole juvenile tissue for RNA,10/27/2021,low,A,RNAlater,4/7/2022,8 A 3 10/27/21,47.6,-,-,A3,Ai3
Bay Scallops FY21-23 OAP,F1 juveniles,whole juvenile tissue for RNA,10/27/2021,low,B,RNAlater,3/31/2022,8 B 1 10/27/21,31.3,-,-,A4,Ai4
Bay Scallops FY21-23 OAP,F1 juveniles,whole juvenile tissue for RNA,10/27/2021,low,C,RNAlater,3/31/2022,8 C 1 10/27/21,73,-,-,A5,Ai5
Bay Scallops FY21-23 OAP,F1 juveniles,whole juvenile tissue for RNA,10/27/2021,low,C,RNAlater,4/6/2022,8 C 2 10/27/21,37.8,-,-,A6,Ai6
Bay Scallops FY21-23 OAP,F1 juveniles,whole juvenile tissue for RNA,10/27/2021,low,C,RNAlater,4/6/2022,8 C 3 10/27/21,44.3,-,-,A7,Ai7
Bay Scallops FY21-23 OAP,F1 juveniles,whole juvenile tissue for RNA,10/27/2021,low,D,RNAlater,3/31/2022,8 D 1 10/27/21,35.3,-,-,A8,Ai8
Bay Scallops FY21-23 OAP,F1 juveniles,whole juvenile tissue for RNA,10/27/2021,low,D,RNAlater,3/31/2022,8 D 2 10/27/21,41,-,-,A9,Ai9
Bay Scallops FY21-23 OAP,F1 juveniles,whole juvenile tissue for RNA,10/27/2021,low,D,RNAlater,4/7/2022,8 D 3 10/27/21,44.9,-,-,A10,Ai10
Bay Scallops FY21-23 OAP,F1 juveniles,whole juvenile tissue for RNA,10/27/2021,moderate,A,RNAlater,3/31/2022,7.5 A 1 10/27/21,53.5,-,-,A11,Ai11
Bay Scallops FY21-23 OAP,F1 juveniles,whole juvenile tissue for RNA,10/27/2021,moderate,A,RNAlater,4/6/2022,7.5 A 2 10/27/21,41.8,-,-,A12,Ai12
Bay Scallops FY21-23 OAP,F1 juveniles,whole juvenile tissue for RNA,10/27/2021,moderate,A,RNAlater,4/6/2022,7.5 A 3 10/27/21,48.4,-,-,B1,Ai13
Bay Scallops FY21-23 OAP,F1 juveniles,whole juvenile tissue for RNA,10/27/2021,moderate,B,RNAlater,3/31/2022,7.5 B 1 10/27/21,31,-,-,B2,Ai14
Bay Scallops FY21-23 OAP,F1 juveniles,whole juvenile tissue for RNA,10/27/2021,moderate,C,RNAlater,3/31/2022,7.5 C 1 10/27/21,71,-,-,B3,Ai15
Bay Scallops FY21-23 OAP,F1 juveniles,whole juvenile tissue for RNA,10/27/2021,moderate,C,RNAlater,4/6/2022,7.5 C 2 10/27/21,38.1,-,-,B4,Ai16
Bay Scallops FY21-23 OAP,F1 juveniles,whole juvenile tissue for RNA,10/27/2021,moderate,C,RNAlater,4/7/2022,7.5 C 3 10/27/21,26.9,-,-,B5,Ai17
Bay Scallops FY21-23 OAP,F1 juveniles,whole juvenile tissue for RNA,10/27/2021,moderate,D,RNAlater,3/31/2022,7.5 D 1 10/27/21,69.5,-,-,B6,Ai18
Bay Scallops FY21-23 OAP,F1 juveniles,whole juvenile tissue for RNA,10/27/2021,moderate,D,RNAlater,3/31/2022,7.5 D 2 10/27/21,30.5,-,-,B7,Ai19
Bay Scallops FY21-23 OAP,F1 juveniles,whole juvenile tissue for RNA,10/27/2021,moderate,D,RNAlater,4/7/2022,7.5 D 3 10/27/21,26.5,-,-,B8,Ai20
Bay Scallops FY21-23 OAP,F1 juveniles,whole juvenile tissue for RNA,2/28/2022,low,A,RNAlater,3/7/2022,Low OA A1 2/28/22,57.7,-,-,B9,Ai21
Bay Scallops FY21-23 OAP,F1 juveniles,whole juvenile tissue for RNA,2/28/2022,low,B,RNAlater,3/7/2022,Low OA B1 2/28/22,54,-,-,B10,Ai22
Bay Scallops FY21-23 OAP,F1 juveniles,whole juvenile tissue for RNA,2/28/2022,low,C,RNAlater,3/9/2022,Low OA C1 2/28/22,82,-,-,B11,Ai23
Bay Scallops FY21-23 OAP,F1 juveniles,whole juvenile tissue for RNA,2/28/2022,low,D,RNAlater,3/23/2022,Low OA D2 2/28/22,65.5,-,-,B12,Ai24
Bay Scallops FY21-23 OAP,F1 juveniles,whole juvenile tissue for RNA,2/28/2022,low,E,RNAlater,3/9/2022,Low OA E1 2/28/22,129,-,-,C1,Ai25
Bay Scallops FY21-23 OAP,F1 juveniles,whole juvenile tissue for RNA,2/28/2022,low,E,RNAlater,3/23/2022,Low OA E2 2/28/22,85,-,-,C2,Ai26
Bay Scallops FY21-23 OAP,F1 juveniles,whole juvenile tissue for RNA,2/28/2022,low,F,RNAlater,3/9/2022,Low OA F1 2/28/22,65.2,-,-,C3,Ai27
Bay Scallops FY21-23 OAP,F1 juveniles,whole juvenile tissue for RNA,2/28/2022,low,G,RNAlater,3/23/2022,Low OA G1 2/28/22,44.3,-,-,C4,Ai28
Bay Scallops FY21-23 OAP,F1 juveniles,whole juvenile tissue for RNA,2/28/2022,low,G,RNAlater,3/23/2022,Low OA G2 2/28/22,105,-,-,C5,Ai29
Bay Scallops FY21-23 OAP,F1 juveniles,whole juvenile tissue for RNA,2/28/2022,low,H,RNAlater,3/23/2022,Low OA H1 2/28/22,93.6,-,-,C6,Ai30
