"","Airradians_TranscriptID","Airradians_NCBI_refseq","Airradians_gene_id","blastxEval_CvirgTranscriptID","blastxEval_CvirgProteinID","blastxEval_CvirgGeneID","blastxEval_CvirgGOterms","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Ai1","Ai2","Ai3","Ai4","Ai5","Ai6","Ai7","Ai8","Ai9","Ai10","Ai11","Ai12","Ai13","Ai14","Ai15","Ai16","Ai17","Ai18","Ai19","Ai20"
"2908","rna-XM_069282283.1","NC_091143.1","LOC138333726","XM_022474205.1","LOC111128544","protein disulfide-isomerase A3-like","GO:0016853;GO:0042592",307.547730144483,1.26227821522646,0.220861440584845,5.71524939746806,1.09543245834747e-08,2.72158698318395e-05,98.6428858412063,151.925254337364,207.786553673775,225.468666906696,173.342692553545,192.064983821103,246.210402701687,217.714978531575,111.317590300655,184.573317950301,482.644828536412,470.90097878911,652.34372434765,445.091061405534,257.456726657719,489.919552601592,418.504919675212,644.232934974863,215.77554312697,265.037006156699
"3007","rna-XM_069283730.1","NC_091144.1","LOC138334901","XM_022433401.1","LOC111101101","WD repeat-containing protein 1-B-like","GO:0003674",310.406367754172,0.485810357705943,0.0861989395020456,5.63592035484862,1.74125846652844e-08,2.72158698318395e-05,241.909934324863,289.318527825066,259.974804363932,229.119981350529,299.738405873838,289.05780065076,252.718166649749,256.766992617956,227.894279355672,243.006076899391,321.763219024275,331.5859833342,398.262397399261,318.28691580434,405.805398151944,393.201116940392,353.903489121321,459.802134329025,322.78617833628,313.225552730644
"2015","rna-XM_069270643.1","NC_091139.1","LOC138325165","XM_022462850.1","LOC111121532","calreticulin-like","GO:0005783;GO:0006457;GO:0043167;GO:0051082",2413.22326423237,1.30089947090488,0.242307454153563,5.36879674399297,7.92636882020579e-08,6.19445723299082e-05,830.244289163487,1321.08916815099,1050.53015741113,1677.77898694132,1581.7520695511,1645.03658642775,2176.84704062681,1493.73953880408,759.939770005259,1396.82119011635,4248.36521389678,4594.95072728474,4782.1735464929,2959.04707553928,2171.63313303481,3816.31061085595,3516.56482841185,5097.76931923381,1334.12439469968,1809.74763799928
"2090","rna-XM_069271356.1","NC_091139.1","LOC138325587","XM_022462065.1","LOC111120984","protein mago nashi homolog 2","GO:0005634;GO:0032991;GO:0034641",223.192626145789,0.909191278724863,0.168685514027306,5.38985984639848,7.05126536280396e-08,6.19445723299082e-05,169.102090013497,143.998719328458,170.095039286439,216.340380797113,136.025862906601,146.929712623144,93.277949922225,203.070473249182,112.194106759715,159.530706972119,264.500273265717,317.735954546285,295.419955539198,364.242780653095,214.387757514234,291.963128210912,438.166224626397,283.020537396609,185.952907085031,257.897962219818
"1256","rna-XM_069262453.1","NC_091136.1","LOC138319361","XM_022475149.1","LOC111129071","tetraspanin-18-like","GO:0005575",217.45460735099,-0.455803170043208,0.0860381492894737,-5.29768682622016,1.1727888637609e-07,7.33227597623317e-05,298.277297662695,204.768821063403,282.203133361592,244.63806773682,253.995195338875,259.287728158489,250.548912000395,233.335784166128,241.042026241576,249.498605671512,154.064592159928,191.456280303531,148.21410738656,208.50346088787,173.232964777127,188.013407640464,211.593091379414,152.984074268437,200.864225106,202.570371708992
"113","rna-XM_069246337.1","NC_091146.1","LOC138306015","XM_022451881.1","LOC111113586","carboxypeptidase A1-like","GO:0005622;GO:0008233;GO:0009056;GO:0032991;GO:0043167",254.84248465844,0.88397744596538,0.172194997945001,5.13358376558489,2.8427642020488e-07,0.000126949727080065,152.661609039962,194.200107718195,139.168668507086,217.253209408071,252.791426640586,158.45361165241,129.070651636567,195.260070431906,143.748699285885,208.688424818179,407.657637662111,326.697737879642,344.824658001385,428.07037072081,283.29810814381,355.236871166837,386.672330706628,378.210628052525,230.686861147939,164.198010548258
"1048","rna-XM_069260367.1","NC_091136.1","LOC138318190","XM_022476325.1","LOC111129841","heat shock protein HSP 90-beta-like","GO:0006457;GO:0043167;GO:0051082",4301.0770173978,0.903327202352759,0.178148757884004,5.07063430069454,3.96492004039594e-07,0.000154929250578471,1582.98345373745,3919.67156190398,3400.93433664192,3089.92484809379,2714.49841464058,3065.3571417848,3645.43243823952,3277.44028219954,1907.29981491516,3365.91241628966,4444.6953136404,6419.89569698648,7377.43281460859,4294.32025975588,4829.4670732894,7900.17876335409,4817.95596565692,7024.51874349241,3326.97819138454,5616.64281734095
"990","rna-XM_069259906.1","NC_091136.1","LOC138317929","XM_022476324.1",NA,NA,NA,399.863620801425,0.881708443214126,0.175405803931975,5.0266777007907,4.99050041127702e-07,0.00015600304285652,254.827455089783,261.575655293896,288.001827882721,314.925870780608,285.293181494376,362.042494502779,318.880433455048,217.714978531575,260.325388340902,248.571101561209,741.691487920362,535.262877274127,711.831019149059,406.794507364905,431.646779638034,590.253630717417,385.736078089905,730.073998869931,388.57140489938,263.252245172478
"3240","rna-XM_069286479.1","NC_091145.1","LOC138336875","XM_022449759.1","LOC111112319","ADP-ribosylation factor 2","GO:0043167",239.533418071944,0.846645301745273,0.167821805517486,5.04490640614075,4.5374341918617e-07,0.00015600304285652,124.477927371046,228.548426090121,158.497650244182,170.698950249199,210.659522200488,141.167763108511,193.063663792512,152.302854936887,215.623048928828,117.793022008484,321.763219024275,312.847709091727,364.989842679829,171.908975915713,246.928756422645,337.158658893716,383.863572856459,424.95576185677,239.458224689686,273.9608110778
"2839","rna-XM_069281634.1","NC_091143.1","LOC138333329","XM_022474912.1","LOC111128939","peptidyl-prolyl cis-trans isomerase B-like","GO:0006457;GO:0006464;GO:0016853",1399.00502729405,0.589229233092772,0.119892343857051,4.91465271373224,8.8939975158775e-07,0.000231688635288609,1066.28262314066,1309.19936563763,764.461227702121,1288.9139986731,1018.38831875208,1251.30336959449,1130.18167231347,1085.6459916014,970.303720179725,1287.37570510059,1938.7597349683,1970.77762576273,1750.3380300889,2015.24977707133,1320.78172040019,1521.28156278317,2048.52072539008,1612.28216048459,1477.09762043015,1152.95559580624
"589","rna-XM_069255111.1","NC_091135.1","LOC138314656","XM_022449726.1","LOC111112302","60 kDa heat shock protein, mitochondrial-like","GO:0005737;GO:0006457;GO:0043167",296.646903712196,1.42017126447965,0.290920170694798,4.88165279529393,1.05200363315018e-06,0.000252966412094419,136.221128066428,278.749814479858,265.773498885061,172.524607471115,57.7808975178482,98.9134666678681,109.547359792381,185.497066910311,97.2933269556906,211.470937149089,564.449036762923,205.306309091446,621.087688096062,454.452441282132,391.449075104115,705.050278651738,405.397383041089,447.053461473322,193.847134272603,331.073162572846
"1822","rna-XM_069268520.1","NC_091138.1","LOC138323721","XM_022477357.1","LOC111130355","nucleolin-like","GO:0003674",433.098663927841,0.830761692683508,0.173375416109444,4.79169256706549,1.65380183222884e-06,0.000369270323396239,189.065531195645,306.492687011029,343.089425833442,356.915986884689,322.610011141319,330.351772172297,399.142855481149,315.345013747528,210.363950174466,344.10402492242,508.549494474807,694.945562123029,668.475872090405,496.153133459706,357.950987992516,686.068155764961,463.44504527792,837.162850857837,356.994496149092,474.746421802571
"1551","rna-XM_069265827.1","NC_091137.1","LOC138321835","XM_022440339.1","LOC111105880","coatomer subunit zeta-1-like","GO:0005794;GO:0016192;GO:0031410;GO:0032991",229.918152746238,0.629226724837996,0.136101447795386,4.62321845234129,3.77831451866653e-06,0.000720216643285763,130.349527718737,206.089910231554,151.732506636198,235.509781627237,133.618325510024,202.628557931264,174.624999273003,217.714978531575,146.378248663066,205.90591248727,297.221956556322,321.809492425084,321.634695621175,304.67036325656,201.945610872783,276.596647778759,239.680669881106,332.315405771994,206.127043231048,291.808420920001
"2803","rna-XM_069281152.1","NC_091143.1","LOC138333046","XM_022479411.1","LOC111131740","T-complex protein 1 subunit gamma-like","GO:0006457;GO:0043167;GO:0051082",390.491412586158,0.665864867038176,0.143750980147463,4.63207183947628,3.62024479997224e-06,0.000720216643285763,212.551932586409,269.502190302801,355.653263962554,381.562359380562,282.885644097799,325.55014757677,349.249998546005,321.202815860485,252.436740209359,268.048687877573,466.28398689111,571.110010607554,504.12961696109,506.36554787054,340.723400335122,618.274859740755,485.915108079274,549.89275584266,269.280860731625,479.208324263122
"3152","rna-XM_069285378.1","NC_091145.1","LOC138336083","XM_022444294.1","LOC111108423","dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1-like","GO:0005737;GO:0005783;GO:0006464;GO:0009058;GO:0016757;GO:0032991",420.513360743833,1.05971127164816,0.229585782936069,4.61575302310096,3.91672518741458e-06,0.000720216643285763,214.900572725485,203.447731895252,241.612271713692,397.993274377811,315.387398951588,330.351772172297,326.472824727788,290.93750494354,132.353985318102,272.686208429088,729.420856686385,776.416319699,592.856429546241,799.121427647794,310.096577833089,558.616759239454,686.273168058011,639.983377356296,274.543678856673,316.795074699084
"1602","rna-XM_069266653.1","NC_091138.1","LOC138322652","XM_022458234.1","LOC111118667","ER lumen protein-retaining receptor 2","GO:0003674;GO:0005783;GO:0008150",679.474905741686,0.701063542325012,0.155989011077334,4.49431365378328,6.97946910787047e-06,0.00121210113506684,340.55282016607,470.307743861752,497.721279730205,668.190543221463,506.786621979461,607.885673793791,601.968165195755,617.998122916982,371.642978641557,491.577178460601,860.307589848802,1007.79327121476,1096.98604650733,967.626265426562,681.446800670245,922.892736542852,910.037543454824,886.457719233222,476.285040316848,605.033973650645
"2422","rna-XM_069276146.1","NC_091141.1","LOC138329281","XM_022446630.1","LOC111110225","SAM pointed domain-containing Ets transcription factor-like","GO:0003677;GO:0003700;GO:0005634;GO:0009058;GO:0032991;GO:0034641",352.709311607596,-0.896913579366287,0.20217809897682,-4.43625488569421,9.15374558400306e-06,0.00143073043477968,366.387861695909,531.077845596697,421.371801868678,444.547533536684,406.873820021515,501.289607773079,302.611023584893,451.050762697703,630.215334064338,535.169871644842,154.064592159928,247.671103030951,194.594032146981,342.115882762953,224.915727749308,224.169832186707,214.401849229583,128.336640080745,474.530767608498,258.790342711928
"1237","rna-XM_069262307.1","NC_091136.1","LOC138319269","XM_022475906.1","LOC111129496","small nuclear ribonucleoprotein Sm D2","GO:0005634;GO:0032991;GO:0034641",148.753276863198,0.819689278756562,0.1879129456677,4.36206923287807,1.28838083455612e-05,0.00182602637179914,59.8903235464467,124.182381806193,141.101566680796,113.190747758827,83.0600401819068,108.516715858923,151.847825454785,112.274540498346,57.8500862979782,124.285550780605,164.971819923463,236.265196970315,203.66836525228,164.249665107587,168.447523761184,218.74636850477,190.059281194783,211.627969404671,106.133498855135,234.696069424955
"1446","rna-XM_069264658.1","NC_091137.1","LOC138321175","XM_022464504.1","LOC111122652","endothelial differentiation-related factor 1 homolog","GO:0003677",171.266145389688,-0.731104268830905,0.167958233358142,-4.3528933009908,1.34352548149009e-05,0.00182602637179914,155.010249179039,319.703578692539,184.59177558926,180.74006496974,150.471087286063,262.168702915806,175.70962659768,213.809777122937,256.819322504661,238.368556347876,143.157364396393,123.020843939716,107.883738029673,131.910352806611,133.035260243208,98.5262568885121,90.8165038221378,108.788675035333,149.113180209694,201.677991216882
"3074","rna-XM_069284511.1","NC_091144.1","LOC138335425","XM_022433896.1",NA,NA,NA,74.4484942491137,-1.07595774147552,0.24718098772064,-4.35291464524589,1.34339463428959e-05,0.00182602637179914,118.606327023355,128.145649310646,62.8191906455598,85.8058894300786,43.3356731383862,107.556390939818,84.6009313248088,149.373953880408,75.3804154791837,153.965682310301,55.8995422881155,33.4030106061479,35.2890731872763,65.5296591361876,56.4682039881242,45.1955306828037,33.7050942020305,26.3472572351197,55.2595903130044,72.2828198609178
"660","rna-XM_069255920.1","NC_091135.1","LOC138315137","XM_022489768.1","LOC111138014","translocon-associated protein subunit alpha-like","GO:0005737;GO:0005783",209.331866433306,0.731847631115465,0.17068823577341,4.28762783679479,1.80591329231788e-05,0.00235220206324404,108.037446397512,129.466738478797,143.034464854506,152.442378030033,187.787916933007,186.30303430647,207.163819013314,203.070473249182,140.242633449644,115.938013787877,246.776028149973,241.153442424873,299.452992474887,249.353118531207,213.430669311046,299.194413120161,266.831995766075,432.604965570192,190.338588855904,174.014195961469
"2937","rna-XM_069282533.1","NC_091143.1","LOC138333887","XM_022478364.1","LOC111131036","eukaryotic translation initiation factor 3 subunit K-like","GO:0005840;GO:0008135",198.164030209682,0.737023668772531,0.172407695247842,4.27488847126595,1.9123299846701e-05,0.00239117741283149,103.340166119359,158.530700178119,174.927284720713,107.713776093077,146.859781191198,183.422059549153,178.963508571711,164.018459162801,115.700172595956,153.038178199998,231.778589975113,278.629990909819,318.609917919409,274.033120024057,188.546376028144,336.25474828006,167.58921839343,283.870448920322,134.201862188725,263.252245172478
"1993","rna-XM_069270406.1","NC_091139.1","LOC138325047","XM_022457600.1","LOC111118247","peroxiredoxin-like","GO:0016491;GO:0042592",185.067106175869,0.746204383906597,0.176228759449674,4.23429402917458,2.29270809608775e-05,0.00275654058014243,138.569768205504,117.576935965438,144.967363028215,180.74006496974,102.320339354523,137.326463432089,133.409160935275,167.923660571439,100.799392791932,157.675698751513,267.227080206601,297.368265152293,295.419955539198,301.266225119616,172.275876573938,256.710614278325,175.079239327214,253.273634066635,114.904862396882,186.50752285101
"816","rna-XM_069257780.1","NC_091135.1","LOC138316202","XM_022485028.1","LOC111135192","adenosylhomocysteinase A-like","GO:0003674;GO:0006520;GO:0006790;GO:0034655;GO:0051186",1045.25443872588,0.541005164723465,0.128530502372127,4.2091577854191,2.5632434818047e-05,0.00286167825861481,665.839479428143,978.927073599882,690.044648014303,788.683919867956,766.800660809778,921.911922341294,962.06443698853,982.158154272487,750.298088955596,1008.19696789938,1390.67153985068,1371.96755757934,1536.5870724974,1245.9145581218,826.924207554904,1195.87374186699,1406.25143031805,1490.74481259355,1108.70035167679,816.528150280738
"1037","rna-XM_069260283.1","NC_091136.1","LOC138318148","XM_022476903.1","LOC111130157","sorting nexin-6-like","GO:0006810;GO:0008289;GO:0043167",234.231706380303,0.627656509523626,0.149056727590785,4.21085662934163,2.54404168699162e-05,0.00286167825861481,147.964328761809,254.970209453141,146.900261201925,149.703892197158,169.731386458679,192.064983821103,238.618011428948,205.023073953501,139.366116990584,197.558375494543,305.402377378973,263.965254546145,307.519066346265,221.268978901413,342.637576741499,283.827932688007,235.935659414214,414.756823572208,267.526588023275,199.893230232662
"1529","rna-XM_069265482.1","NC_091137.1","LOC138321654","XM_022458435.1","LOC111118801","cyclin-T2-like","GO:0009058;GO:0019899;GO:0034641",201.10952009046,-0.413011919056542,0.0991988904433704,-4.1634731720343,3.13442869309508e-05,0.00334034294683801,207.854652308256,239.117139435329,183.625326502406,220.904523851904,245.568814450855,232.398630423535,201.740682389929,273.364098604668,230.523828732853,261.556159105452,177.242451157439,151.535609091305,167.371032831082,174.462079518421,173.232964777127,161.799999844437,151.672923909137,151.28425122101,245.598179168909,171.337054485138
"1772","rna-XM_069268181.1","NC_091138.1","LOC138323525","XM_022489278.1","LOC111137692","39S ribosomal protein L12, mitochondrial-like","GO:0003735;GO:0005840;GO:0006412;GO:0042254",131.415535835283,0.654805200826311,0.157467977808188,4.15833879332553,3.20570340387525e-05,0.00334034294683801,97.4685657716682,117.576935965438,74.416579687817,122.31903386841,98.7090332596574,101.794441425185,83.5163040001317,91.7722331029958,93.7872611194495,139.125616545453,177.242451157439,156.423854545864,171.40406976677,171.057941381477,108.150966960306,184.397765185839,236.871912030937,165.73274712414,99.1164080217381,137.426595784955
"1388","rna-XM_069264100.1","NC_091137.1","LOC138320843","XM_022468174.1",NA,NA,NA,511.662559694933,1.16868833354891,0.282582878836585,4.13573652572474,3.53817965429003e-05,0.00356785470945504,211.377612516871,348.767540391861,373.04934752594,347.787700775106,251.587657942298,444.630437545853,561.836954182704,292.890105647859,163.032061385211,155.820690530907,713.060015041083,798.413424244512,1085.89519493419,447.644165008242,603.922656211972,995.205585635338,352.030983887874,1271.46763947546,354.363087086568,460.46833392881
"70","rna-XM_069245554.1","NC_091145.1","LOC138305149","XM_022444398.1",NA,NA,NA,150.162390543305,0.752677672251471,0.18542023563972,4.05930706351791,4.92185557935821e-05,0.00462804901173878,44.6241626424505,138.714362655854,103.41005229346,113.190747758827,110.746720242542,122.921589645506,127.98602431189,104.46413768107,133.230501777162,119.64803022909,151.337785219044,295.738850000773,184.511439807759,148.080008957099,150.262847900602,245.863686914452,135.756629424845,220.97699616552,194.724270626777,157.058966611377
"1142","rna-XM_069261361.1","NC_091136.1","LOC138318721","XM_022476284.1","LOC111129820","serine/arginine-rich splicing factor 6-like","GO:0003674",826.04898849074,0.436557966971857,0.109168739113669,3.99892836095965,6.36299346479366e-05,0.0055251993252625,562.499313308784,800.580035899499,669.749217190353,751.257946818667,715.038606783372,750.013761821407,722.361798234906,660.955338412002,614.438037801253,773.538427992719,891.665869668965,1137.33177576055,1224.02670998153,989.753163316703,832.666736774035,1036.78547386352,1091.6705510991,610.236474026322,832.402400111765,854.008130949362
"606","rna-XM_069255255.1","NC_091135.1","LOC138314759","XM_022450308.1","LOC111112645","cytochrome c-like","GO:0016491",642.462113947697,0.47527623132523,0.120094770561019,3.9575097991777,7.57351814742684e-05,0.00607046608432213,536.664271778944,451.812495507638,576.970104852296,515.74816519143,504.379084582884,535.861304860877,751.646736001185,510.605084179434,396.185439495245,595.457638814539,794.864223267594,694.130854547269,861.053385769541,714.017974224174,623.064420275743,1011.47597668115,656.313084322872,883.907984662082,563.12153938014,671.962510558903
"622","rna-XM_069255393.1","NC_091135.1","LOC138314827","XM_022454355.1","LOC111115569","actin-related protein 2/3 complex subunit 2-like","GO:0005856;GO:0007010;GO:0032991;GO:0065003",275.009527402837,0.520346643374011,0.131318413283865,3.96248043485877,7.41750874169096e-05,0.00607046608432213,180.845290708878,220.621891081215,236.780026279418,193.519665523156,173.342692553545,343.796321039774,233.194874805563,190.378568671108,202.475302042924,281.961249532118,381.752971723716,293.294727273494,428.510174416926,336.1586410233,340.723400335122,287.443575142632,256.533216982121,336.564963390562,281.56076969007,300.732225841102
"1916","rna-XM_069269230.1","NC_091138.1","LOC138324147","XM_022457724.1","LOC111118318","THO complex subunit 4-like","GO:0003674",318.687925513187,0.568129200519582,0.143371157986997,3.96264638227382,7.41235308020686e-05,0.00607046608432213,191.414171334722,187.59466187744,278.337337014173,322.228499668274,274.459263209779,245.843179291012,318.880433455048,291.913805295699,189.32755515702,266.193679656967,413.111251543878,496.971621213421,425.48539671516,400.837265625251,297.654431191638,460.090502350942,321.134647536013,398.60850462165,242.966770106385,350.705533399268
"284","rna-XM_069249228.1","NC_091147.1","LOC138308241","XM_022486182.1","LOC111135802","H/ACA ribonucleoprotein complex subunit 4-like","GO:0003723;GO:0016853;GO:0034641",105.406460616299,0.766222703834972,0.200803298967306,3.81578742867031,0.000135749333536432,0.00922505253554098,38.7525622947596,91.1551526024182,69.5843342535432,77.590431931454,111.950488940831,70.1037190947026,99.7857138702873,91.7722331029958,64.8622179704604,65.8527918315144,132.250136632859,173.532713636817,145.189329684794,114.889662121887,84.2237618805921,200.668156231649,109.541556156599,158.933454934432,76.3108628131966,131.179932340184
